Configuration,Term,J,Level (eV),Uncertainty (eV),Lande,Leading percentages
"=""2s2.2p2""","=""3P""","=""0""","="" 0.0000000000""","=""0.00000016""","=""""","=""  98                                                """,
"=""2s2.2p2""","=""3P""","=""1""","="" 0.0020354130""","=""0.00000016""","=""1.5010623(50)""","=""  98                                                """,
"=""2s2.2p2""","=""3P""","=""2""","="" 0.0053825826""","=""0.00000016""","=""1.5010469(50)""","=""  98                                                """,
"=""2s2.2p2""","=""1D""","=""2""","="" 1.2637284""","=""0.0000004""","=""""","=""  98                                                """,
"=""2s2.2p2""","=""1S""","=""0""","="" 2.6840136""","=""0.0000004""","=""""","=""  94         :     4  2p4                   1S      """,
"=""2s.2p3""","=""5S*""","=""2""","="" 4.1826219""","=""0.0000022""","=""""","="" 100                                                """,
"=""2s2.2p.3s""","=""3P*""","=""0""","="" 7.48039414""","=""0.00000006""","=""""","=""  96                                                """,
"=""2s2.2p.3s""","=""3P*""","=""1""","="" 7.48277598""","=""0.00000004""","=""""","=""  96                                                """,
"=""2s2.2p.3s""","=""3P*""","=""2""","="" 7.48779869""","=""0.00000005""","=""""","=""  96                                                """,
"=""2s2.2p.3s""","=""1P*""","=""1""","="" 7.68476777""","=""0.00000005""","=""0.97""","=""  97                                                """,
"=""2s.2p3""","=""3D*""","=""3""","="" 7.945771557""","=""0.000000012""","=""""","=""  96                                                """,
"=""2s.2p3""","=""3D*""","=""1""","="" 7.94613476""","=""0.00000007""","=""""","=""  96                                                """,
"=""2s.2p3""","=""3D*""","=""2""","="" 7.94627046""","=""0.00000004""","=""""","=""  96                                                """,
"=""2s2.2p.3p""","=""1P""","=""1""","="" 8.53709962""","=""0.00000005""","=""""","=""  97                                                """,
"=""2s2.2p.3p""","=""3D""","=""1""","="" 8.64039604""","=""0.00000003""","=""""","=""  98                                                """,
"=""2s2.2p.3p""","=""3D""","=""2""","="" 8.643023685""","=""0.000000022""","=""""","=""  98                                                """,
"=""2s2.2p.3p""","=""3D""","=""3""","="" 8.647160399""","=""0.000000017""","=""""","=""  98                                                """,
"=""2s2.2p.3p""","=""3S""","=""1""","="" 8.771134696""","=""0.000000016""","=""""","=""  99                                                """,
"=""2s2.2p.3p""","=""3P""","=""0""","="" 8.84658790""","=""0.00000003""","=""""","=""  98                                                """,
"=""2s2.2p.3p""","=""3P""","=""1""","="" 8.848124381""","=""0.000000024""","=""""","=""  98                                                """,
"=""2s2.2p.3p""","=""3P""","=""2""","="" 8.850662829""","=""0.00000""","=""""","=""  98                                                """,
"=""2s2.2p.3p""","=""1D""","=""2""","="" 9.00258381""","=""0.00000003""","=""""","=""  96                                                """,
"=""2s2.2p.3p""","=""1S""","=""0""","="" 9.17184612""","=""0.00000004""","=""""","=""  88         :     9  2s2.2p.4p             1S      """,
"=""2s.2p3""","=""3P*""","=""1""","="" 9.33030708""","=""0.00000004""","=""""","=""  79         :    15  2s2.2p.3d             3P*     """,
"=""2s.2p3""","=""3P*""","=""2""","="" 9.330467271""","=""0.000000016""","=""""","=""  79         :    15  2s2.2p.3d             3P*     """,
"=""2s.2p3""","=""3P*""","=""0""","="" 9.33057587""","=""0.00000004""","=""""","=""  79         :    15  2s2.2p.3d             3P*     """,
"=""2s2.2p.3d""","=""1D*""","=""2""","="" 9.631071843""","=""0.000000024""","=""""","=""  98                                                """,
"=""2s2.2p.4s""","=""3P*""","=""0""","="" 9.68378589""","=""0.00000004""","=""""","=""  93         :     7  2s2.2p.3d             3P*     """,
"=""2s2.2p.4s""","=""3P*""","=""1""","="" 9.685245529""","=""0.000000017""","=""""","=""  92         :     7  2s2.2p.3d             3P*     """,
"=""2s2.2p.4s""","=""3P*""","=""2""","="" 9.689130559""","=""0.000000015""","=""""","=""  92         :     8  2s2.2p.3d             3P*     """,
"=""2s2.2p.3d""","=""3F*""","=""2""","="" 9.69545167""","=""0.00000003""","=""""","=""  86         :    13  2s2.2p.3d             3D*     """,
"=""2s2.2p.3d""","=""3F*""","=""3""","="" 9.697491047""","=""0.000000021""","=""""","=""  76         :    22  2s2.2p.3d             3D*     """,
"=""2s2.2p.3d""","=""3F*""","=""4""","="" 9.701759406""","=""0.000000017""","=""""","="" 100                                                """,
"=""2s2.2p.3d""","=""3D*""","=""1""","="" 9.70715841""","=""0.00000003""","=""""","=""  97                                                """,
"=""2s2.2p.3d""","=""3D*""","=""2""","="" 9.708910751""","=""0.000000021""","=""""","=""  84         :    14  2s2.2p.3d             3F*     """,
"=""2s2.2p.3d""","=""3D*""","=""3""","="" 9.710227435""","=""0.000000011""","=""""","=""  75         :    23  2s2.2p.3d             3F*     """,
"=""2s2.2p.4s""","=""1P*""","=""1""","="" 9.71295903""","=""0.00000003""","=""""","=""  80         :    18  2s2.2p.3d             1P*     """,
"=""2s2.2p.3d""","=""1F*""","=""3""","="" 9.73643528""","=""0.00000003""","=""""","=""  99                                                """,
"=""2s2.2p.3d""","=""1P*""","=""1""","="" 9.76143658""","=""0.00000005""","=""""","=""  81         :    18  2s2.2p.4s             1P*     """,
"=""2s2.2p.3d""","=""3P*""","=""2""","="" 9.833294423""","=""0.000000011""","=""""","=""  77         :    15  2s.2p3                3P*     """,
"=""2s2.2p.3d""","=""3P*""","=""1""","="" 9.83427899""","=""0.00000004""","=""""","=""  77         :    15  2s.2p3                3P*     """,
"=""2s2.2p.3d""","=""3P*""","=""0""","="" 9.83482192""","=""0.00000006""","=""""","=""  78         :    15  2s.2p3                3P*     """,
"=""2s2.2p.4p""","=""1P""","=""1""","="" 9.98852478""","=""0.00000003""","=""""","=""  96                                                """,
"=""2s2.2p.4p""","=""3D""","=""1""","="" 10.01574721""","=""0.00000003""","=""""","=""  97                                                """,
"=""2s2.2p.4p""","=""3D""","=""2""","="" 10.018083033""","=""0.000000019""","=""""","=""  98                                                """,
"=""2s2.2p.4p""","=""3D""","=""3""","="" 10.022216175""","=""0.000000016""","=""""","=""  98                                                """,
"=""2s2.2p.4p""","=""3S""","=""1""","="" 10.055746371""","=""0.000000017""","=""""","=""  89         :     9  2s2.2p.4p             3P      """,
"=""2s2.2p.4p""","=""3P""","=""0""","="" 10.08128590""","=""0.00000004""","=""""","=""  98                                                """,
"=""2s2.2p.4p""","=""3P""","=""1""","="" 10.083115460""","=""0.000000025""","=""""","=""  89         :     9  2s2.2p.4p             3S      """,
"=""2s2.2p.4p""","=""3P""","=""2""","="" 10.085377438""","=""0.000000014""","=""""","=""  98                                                """,
"=""2s2.2p.4p""","=""1D""","=""2""","="" 10.13817190""","=""0.00000003""","=""""","=""  93         :     4  2s2.2p.5p             1D      """,
"=""2s2.2p.4p""","=""1S""","=""0""","="" 10.19792602""","=""0.00000004""","=""""","=""  79         :    13  2s2.2p.5p             1S      """,
"=""2s2.2p.4d""","=""1D*""","=""2""","="" 10.35238138""","=""0.00000004""","=""""","=""  97                                                """,
"=""2s2.2p.5s""","=""3P*""","=""0""","="" 10.38244873""","=""0.00000012""","=""""","=""  94         :     6  2s2.2p.4d             3P*     """,
"=""2s2.2p.5s""","=""3P*""","=""1""","="" 10.38397899""","=""0.00000007""","=""""","=""  89         :     6  2s2.2p.4d             3P*     """,
"=""2s2.2p.5s""","=""3P*""","=""2""","="" 10.38877088""","=""0.00000006""","=""""","=""  74         :    11  2s2.2p.4d             3D*     """,
"=""2s2.2p.4d""","=""3F*""","=""2""","="" 10.38335829""","=""0.00000004""","=""""","=""  86         :    13  2s2.2p.4d             3D*     """,
"=""2s2.2p.4d""","=""3F*""","=""3""","="" 10.385074438""","=""0.000000022""","=""""","=""  78         :    19  2s2.2p.4d             3D*     """,
"=""2s2.2p.4d""","=""3F*""","=""4""","="" 10.389704212""","=""0.000000020""","=""""","="" 100                                                """,
"=""2s2.2p.4d""","=""3D*""","=""1""","="" 10.39237505""","=""0.00000010""","=""""","=""  94         :     4  2s2.2p.4d             1P*     """,
"=""2s2.2p.4d""","=""3D*""","=""2""","="" 10.39459625""","=""0.00000005""","=""""","=""  75         :    16  2s2.2p.5s             3P*     """,
"=""2s2.2p.4d""","=""3D*""","=""3""","="" 10.39593494""","=""0.00000004""","=""""","=""  80         :    20  2s2.2p.4d             3F*     """,
"=""2s2.2p.5s""","=""1P*""","=""1""","="" 10.3994604""","=""0.0000007""","=""""","=""  65         :    28  2s2.2p.4d             1P*     """,
"=""2s2.2p.(2P*<1/2>).4f""","=""2[5/2]""","=""3""","="" 10.404712177""","=""0.000000022""","=""""","=""  82         :    17  2s2.2p.(2P*<3/2>).4f  2[5/2]  """,
"=""2s2.2p.(2P*<1/2>).4f""","=""2[5/2]""","=""2""","="" 10.40472588""","=""0.00000004""","=""""","=""  82         :    18  2s2.2p.(2P*<3/2>).4f  2[5/2]  """,
"=""2s2.2p.(2P*<1/2>).4f""","=""2[7/2]""","=""3""","="" 10.40552565""","=""0.00000004""","=""""","=""  83         :    17  2s2.2p.(2P*<3/2>).4f  2[7/2]  """,
"=""2s2.2p.(2P*<1/2>).4f""","=""2[7/2]""","=""4""","="" 10.405550385""","=""0.000000016""","=""""","=""  83         :    17  2s2.2p.(2P*<3/2>).4f  2[7/2]  """,
"=""2s2.2p.4d""","=""1F*""","=""3""","="" 10.40812917""","=""0.00000005""","=""""","=""  97                                                """,
"=""2s2.2p.(2P*<3/2>).4f""","=""2[7/2]""","=""3""","="" 10.41296443""","=""0.00000003""","=""""","=""  83         :    17  2s2.2p.(2P*<1/2>).4f  2[7/2]  """,
"=""2s2.2p.(2P*<3/2>).4f""","=""2[7/2]""","=""4""","="" 10.41299796""","=""0.00000006""","=""""","=""  83         :    17  2s2.2p.(2P*<1/2>).4f  2[7/2]  """,
"=""2s2.2p.(2P*<3/2>).4f""","=""2[5/2]""","=""3""","="" 10.416318591""","=""0.000000015""","=""""","=""  82         :    17  2s2.2p.(2P*<1/2>).4f  2[5/2]  """,
"=""2s2.2p.(2P*<3/2>).4f""","=""2[5/2]""","=""2""","="" 10.41633791""","=""0.00000004""","=""""","=""  82         :    18  2s2.2p.(2P*<1/2>).4f  2[5/2]  """,
"=""2s2.2p.(2P*<3/2>).4f""","=""2[9/2]""","=""5""","="" 10.416641283""","=""0.000000022""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).4f""","=""2[9/2]""","=""4""","="" 10.41669049""","=""0.00000006""","=""""","="" 100                                                """,
"=""2s2.2p.4d""","=""1P*""","=""1""","="" 10.41865840""","=""0.00000009""","=""""","=""  67         :    30  2s2.2p.5s             1P*     """,
"=""2s2.2p.(2P*<3/2>).4f""","=""2[3/2]""","=""1""","="" 10.41917726""","=""0.00000007""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).4f""","=""2[3/2]""","=""2""","="" 10.41919132""","=""0.00000006""","=""""","="" 100                                                """,
"=""2s2.2p.4d""","=""3P*""","=""2""","="" 10.42745839""","=""0.00000005""","=""""","=""  87         :     9  2s2.2p.5s             3P*     """,
"=""2s2.2p.4d""","=""3P*""","=""1""","="" 10.42906912""","=""0.00000006""","=""""","=""  89         :     6  2s2.2p.5s             3P*     """,
"=""2s2.2p.4d""","=""3P*""","=""0""","="" 10.42970278""","=""0.00000022""","=""""","=""  91         :     6  2s2.2p.5s             3P*     """,
"=""2s2.2p.5p""","=""1P""","=""1""","="" 10.52024138""","=""0.00000020""","=""""","=""  90         :     6  2s2.2p.5p             3D      """,
"=""2s2.2p.5p""","=""3D""","=""1""","="" 10.5306428""","=""0.0000025""","=""""","=""  91         :     6  2s2.2p.5p             1P      """,
"=""2s2.2p.5p""","=""3D""","=""2""","="" 10.532508""","=""0.000004""","=""""","=""  97                                                """,
"=""2s2.2p.5p""","=""3D""","=""3""","="" 10.53679751""","=""0.00000025""","=""""","=""  98                                                """,
"=""2s2.2p.5p""","=""3P""","=""0""","="" 10.559692""","=""0.000004""","=""""","=""  98                                                """,
"=""2s2.2p.5p""","=""3P""","=""1""","="" 10.56208579""","=""0.00000005""","=""""","=""  68         :    30  2s2.2p.5p             3S      """,
"=""2s2.2p.5p""","=""3P""","=""2""","="" 10.56390942""","=""0.00000004""","=""""","=""  97                                                """,
"=""2s2.2p.5p""","=""1D""","=""2""","="" 10.5882298""","=""0.0000014""","=""""","=""  90         :     5  2s2.2p.6p             1D      """,
"=""2s2.2p.5p""","=""1S""","=""0""","="" 10.6161705""","=""0.0000005""","=""""","=""  72         :    17  2s2.2p.6p             1S      """,
"=""2s2.2p.5d""","=""1D*""","=""2""","="" 10.68560706""","=""0.00000009""","=""""","=""  94         :     4  2s2.2p.5d             3F*     """,
"=""2s2.2p.5d""","=""3F*""","=""2""","="" 10.702030""","=""0.000006""","=""""","=""  78         :    19  2s2.2p.5d             3D*     """,
"=""2s2.2p.5d""","=""3F*""","=""3""","="" 10.70320700""","=""0.00000017""","=""""","=""  71         :    22  2s2.2p.5d             3D*     """,
"=""2s2.2p.5d""","=""3F*""","=""4""","="" 10.7084390""","=""0.0000006""","=""""","="" 100                                                """,
"=""2s2.2p.6s""","=""3P*""","=""0""","="" 10.702560""","=""0.000004""","=""""","=""  95         :     5  2s2.2p.5d             3P*     """,
"=""2s2.2p.6s""","=""3P*""","=""1""","="" 10.7037605""","=""0.0000021""","=""""","=""  79         :     7  2s2.2p.6s             1P*     """,
"=""2s2.2p.6s""","=""3P*""","=""2""","="" 10.708468""","=""0.000003""","=""""","=""  73         :    17  2s2.2p.5d             3D*     """,
"=""2s2.2p.5d""","=""3D*""","=""1""","="" 10.707590""","=""0.000004""","=""""","=""  81         :     9  2s2.2p.5d             1P*     """,
"=""2s2.2p.5d""","=""3D*""","=""2""","="" 10.710924""","=""0.000003""","=""""","=""  61         :    17  2s2.2p.5d             3F*     """,
"=""2s2.2p.5d""","=""3D*""","=""3""","="" 10.711966""","=""0.000005""","=""""","=""  75         :    25  2s2.2p.5d             3F*     """,
"=""2s2.2p.(2P*<1/2>).5f""","=""2[5/2]""","=""3""","="" 10.71372629""","=""0.00000022""","=""""","=""  93         :     7  2s2.2p.(2P*<3/2>).5f  2[5/2]  """,
"=""2s2.2p.(2P*<1/2>).5f""","=""2[5/2]""","=""2""","="" 10.71373880""","=""0.00000020""","=""""","=""  93         :     7  2s2.2p.(2P*<3/2>).5f  2[5/2]  """,
"=""2s2.2p.(2P*<1/2>).5f""","=""2[7/2]""","=""3""","="" 10.71404072""","=""0.00000025""","=""""","=""  96                                                """,
"=""2s2.2p.(2P*<1/2>).5f""","=""2[7/2]""","=""4""","="" 10.71406552""","=""0.00000011""","=""""","=""  96                                                """,
"=""2s2.2p.6s""","=""1P*""","=""1""","="" 10.7142898""","=""0.0000022""","=""""","=""  48         :    34  2s2.2p.5d             1P*     """,
"=""2s2.2p.(2P*<1/2>).5g""","=""2[7/2]*""","=""3""","="" 10.71555641""","=""0.00000007""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).5g""","=""2[7/2]*""","=""4""","="" 10.71555649""","=""0.00000007""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).5g""","=""2[9/2]*""","=""5""","="" 10.71561401""","=""0.00000004""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).5g""","=""2[9/2]*""","=""4""","="" 10.71561406""","=""0.00000005""","=""""","=""  99                                                """,
"=""2s2.2p.5d""","=""1F*""","=""3""","="" 10.718336""","=""0.000003""","=""""","=""  92         :     4  2s2.2p.5d             3F*     """,
"=""2s2.2p.(2P*<3/2>).5f""","=""2[7/2]""","=""3""","="" 10.7208571""","=""0.0000003""","=""""","=""  96                                                """,
"=""2s2.2p.(2P*<3/2>).5f""","=""2[7/2]""","=""4""","="" 10.72087957""","=""0.00000019""","=""""","=""  95         :     4  2s2.2p.(2P*<1/2>).5f  2[7/2]  """,
"=""2s2.2p.(2P*<3/2>).5f""","=""2[5/2]""","=""3""","="" 10.72248485""","=""0.00000019""","=""""","=""  93         :     7  2s2.2p.(2P*<1/2>).5f  2[5/2]  """,
"=""2s2.2p.(2P*<3/2>).5f""","=""2[5/2]""","=""2""","="" 10.7224999""","=""0.0000005""","=""""","=""  93         :     7  2s2.2p.(2P*<1/2>).5f  2[5/2]  """,
"=""2s2.2p.(2P*<3/2>).5g""","=""2[9/2]*""","=""4""","="" 10.72284670""","=""0.00000005""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).5g""","=""2[9/2]*""","=""5""","="" 10.72284691""","=""0.00000007""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).5f""","=""2[9/2]""","=""5""","="" 10.72314833""","=""0.00000007""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).5f""","=""2[9/2]""","=""4""","="" 10.72318948""","=""0.00000011""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).5g""","=""2[7/2]*""","=""3""","="" 10.72334742""","=""0.00000006""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).5g""","=""2[7/2]*""","=""4""","="" 10.72334747""","=""0.00000007""","=""""","=""  99                                                """,
"=""2s2.2p.5d""","=""1P*""","=""1""","="" 10.7235720""","=""0.0000019""","=""""","=""  52         :    41  2s2.2p.6s             1P*     """,
"=""2s2.2p.(2P*<3/2>).5g""","=""2[11/2]*""","=""5""","="" 10.72399473""","=""0.00000006""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).5g""","=""2[11/2]*""","=""6""","="" 10.72399516""","=""0.00000004""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).5g""","=""2[5/2]*""","=""2""","="" 10.72443720""","=""0.00000015""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).5g""","=""2[5/2]*""","=""3""","="" 10.72443729""","=""0.00000012""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).5f""","=""2[3/2]""","=""1""","="" 10.7244500""","=""0.0000021""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).5f""","=""2[3/2]""","=""2""","="" 10.7244786""","=""0.0000010""","=""""","="" 100                                                """,
"=""2s2.2p.5d""","=""3P*""","=""2""","="" 10.72546557""","=""0.00000025""","=""""","=""  80         :    15  2s2.2p.6s             3P*     """,
"=""2s2.2p.5d""","=""3P*""","=""1""","="" 10.7270516""","=""0.0000024""","=""""","=""  87         :     7  2s2.2p.6s             3P*     """,
"=""2s2.2p.5d""","=""3P*""","=""0""","="" 10.727508""","=""0.000004""","=""""","=""  93         :     5  2s2.2p.6s             3P*     """,
"=""2s2.2p.6p""","=""1P""","=""1""","="" 10.775825""","=""0.000004""","=""""","=""  71         :    25  2s2.2p.6p             3D      """,
"=""2s2.2p.6p""","=""3D""","=""1""","="" 10.781192""","=""0.000003""","=""""","=""  71         :    21  2s2.2p.6p             1P      """,
"=""2s2.2p.6p""","=""3D""","=""2""","="" 10.782347""","=""0.000003""","=""""","=""  95                                                """,
"=""2s2.2p.6p""","=""3D""","=""3""","="" 10.786912""","=""0.000004""","=""""","=""  98                                                """,
"=""2s2.2p.6p""","=""3P""","=""0""","="" 10.796222""","=""0.000003""","=""""","=""  98                                                """,
"=""2s2.2p.6p""","=""3P""","=""1""","="" 10.7994123""","=""0.0000024""","=""""","=""  54         :    44  2s2.2p.6p             3S      """,
"=""2s2.2p.6p""","=""3P""","=""2""","="" 10.800665""","=""0.000003""","=""""","=""  95                                                """,
"=""2s2.2p.6p""","=""1D""","=""2""","="" 10.8136879""","=""0.0000007""","=""""","=""  88         :     6  2s2.2p.7p             1D      """,
"=""2s2.2p.6p""","=""1S""","=""0""","="" 10.828910""","=""0.000004""","=""""","=""  65         :    22  2s2.2p.7p             1S      """,
"=""2s2.2p.6d""","=""1D*""","=""2""","="" 10.865203""","=""0.000004""","=""""","=""  84         :    12  2s2.2p.6d             3F*     """,
"=""2s2.2p.6d""","=""3F*""","=""2""","="" 10.874433""","=""0.000006""","=""""","=""  64         :    27  2s2.2p.6d             3D*     """,
"=""2s2.2p.6d""","=""3F*""","=""3""","="" 10.875078""","=""0.000006""","=""""","=""  64         :    24  2s2.2p.6d             3D*     """,
"=""2s2.2p.6d""","=""3F*""","=""4""","="" 10.880931""","=""0.000006""","=""""","="" 100                                                """,
"=""2s2.2p.7s""","=""3P*""","=""0""","="" 10.874826""","=""0.000004""","=""""","=""  96                                                """,
"=""2s2.2p.7s""","=""3P*""","=""1""","="" 10.8757182""","=""0.0000020""","=""""","=""  65         :    16  2s2.2p.7s             1P*     """,
"=""2s2.2p.7s""","=""3P*""","=""2""","="" 10.880080""","=""0.000003""","=""""","=""  71         :    15  2s2.2p.6d             3P*     """,
"=""2s2.2p.6d""","=""3D*""","=""1""","="" 10.877795""","=""0.000016""","=""""","=""  66         :    15  2s2.2p.7s             3P*     """,
"=""2s2.2p.6d""","=""3D*""","=""2""","="" 10.882479""","=""0.000003""","=""""","=""  53         :    24  2s2.2p.6d             3F*     """,
"=""2s2.2p.6d""","=""3D*""","=""3""","="" 10.882983""","=""0.000004""","=""""","=""  70         :    29  2s2.2p.6d             3F*     """,
