ritz_wl_vac(nm),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
"=""82.2174""","=""1.7e+09""","=""5.2e-01""",E,"=""0.0000000""","=""15.08004""","=""3s2.3p2""","=""3P""","=""0""","=""3s.3p3""","=""3D*""","=""1""",,
"=""82.70494""","=""2.2e+09""","=""3.8e-01""",E,"=""0.0946292""","=""15.08578""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""3D*""","=""2""",,
"=""82.7366""","=""1.2e+09""","=""1.2e-01""",E,"=""0.0946292""","=""15.08004""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""3D*""","=""1""",,
"=""83.49034""","=""2.9e+09""","=""4.2e-01""",E,"=""0.251534""","=""15.10166""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""3D*""","=""3""",,
"=""83.57973""","=""7.2e+08""","=""7.5e-02""",E,"=""0.251534""","=""15.08578""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""3D*""","=""2""",,
"=""83.6121""","=""8.0e+07""","=""5.0e-03""",E,"=""0.251534""","=""15.08004""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""3D*""","=""1""",,
"=""269.1851""","=""6.8e+00""","=""""",C,"=""0.0946292""","=""4.70054""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""1S""","=""0""",M1,
"=""278.6785""","=""8.1e-02""","=""""",D,"=""0.251534""","=""4.70054""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p2""","=""1S""","=""0""",E2,
"=""462.669""","=""3.8e+00""","=""""",D,"=""2.020776""","=""4.70054""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p2""","=""1S""","=""0""",E2,
"=""613.547""","=""4.9e-05""","=""""",D,"=""0.0000000""","=""2.020776""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p2""","=""1D""","=""2""",E2,
"=""643.690""","=""2.23e-01""","=""""",C,"=""0.0946292""","=""2.020776""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""1D""","=""2""",M1,
"=""643.690""","=""3.5e-04""","=""""",D,"=""0.0946292""","=""2.020776""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""1D""","=""2""",E2,
"=""700.776""","=""5.2e-01""","=""""",C,"=""0.251534""","=""2.020776""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p2""","=""1D""","=""2""",M1,
"=""700.776""","=""1.6e-03""","=""""",D,"=""0.251534""","=""2.020776""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p2""","=""1D""","=""2""",E2,
"=""2028.76""","=""1.33e-06""","=""""",C,"=""0.0000000""","=""0.251534""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p2""","=""3P""","=""2""",E2,
"=""1265.52""","=""2.79e-07""","=""""",C,"=""0.0946292""","=""0.251534""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""3P""","=""2""",E2,
"=""1265.52""","=""2.73e-02""","=""""",B,"=""0.0946292""","=""0.251534""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""3P""","=""2""",M1,
"=""763.236""","=""8.05e-03""","=""""",A,"=""0.0000000""","=""0.0946292""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p2""","=""3P""","=""1""",M1,